"","Name","long","lat"
"134",134,-123.6523484258,39.7098072011888
"135",135,-123.796141759653,40.090771059679
"136",136,-123.741786530303,40.1334112470672
"137",137,-123.836828202526,40.0631859300036
"138",138,-123.712112179461,39.873080614502
"139",139,-123.935240284163,40.3333244115277
"140",140,-123.907326753401,39.9338097863832
"141",141,-123.879031652017,40.1706347636452
"142",142,-123.999532219054,40.3391178614573
"143",143,-123.892130478489,40.0234342581146
"144",144,-123.649252355238,39.7663819115012
"145",145,-123.697997553542,39.9304813587607
"146",146,-123.740195330254,39.9319668772618
"147",147,-123.853151585603,40.1621719853436
"148",148,-124.002667820203,40.3498939682408
"149",149,-123.64714158442,39.9277933934762
"150",150,-123.673241984311,39.9837932955578
"151",151,-123.946166970992,40.2363444481889
"152",152,-123.460536010473,39.6600171583643
